Country,lon,lat
Saudi Arabia,44.66317480529125,24.086557985041413
São Tomé and Principe,6.724216359640079,0.4438400918547908
San Marino,12.459215228352486,43.94186523533145
Samoa,-172.1653046085781,-13.75340088382667
Saint Vincent and the Grenadines,-61.201317403766964,13.224677030556677
Saint Lucia,-60.969710673636214,13.894772997268886
Saint Kitts and Nevis,-62.687467234058495,17.264578641728338
Rwanda,29.919982880348805,-1.9903249497732192
Russia,95.6413766734594,66.03172193364617
Romania,24.983181796396863,45.84841398366041
Qatar,51.184651677588725,25.304862356199486
Portugal,-8.528130281259472,39.60621030811328
Poland,19.419706287902866,52.11183561214399
Philippines,122.9192800779608,11.72934323099065
Peru,-74.42074158947497,-9.107149627259437
Paraguay,-58.443432990284975,-23.208909339152218
Papua New Guinea,145.20049671341394,-6.468581389763545
Panama,-80.11877624020535,8.52023299495937
Palau,134.4057809732822,7.286684737450951
Pakistan,69.16843955271331,29.883945354228477
Oman,56.06213064290028,20.585775129520002
Norway,12.745896580246201,66.36032289769228
North Korea,127.15912277937706,40.140074272879325
Nigeria,8.079586854238341,9.590945570096183
Niger,9.331610074345459,17.412007962950746
Nicaragua,-85.03194107361517,12.84499272075925
New Zealand,172.92134383992476,-41.70233372718418
Niue,-169.86994275834812,-19.049456179724103
Cook Islands,-159.78724303863964,-21.219273994211754
Netherlands,4.99154833318456,52.22691960090928
Aruba,-69.98266399221951,12.520878060142005
Curaçao,-68.97111792630227,12.195518411346427
Nepal,83.94684442534752,28.258042513952084
Nauru,166.93256824930862,-0.5191263784577964
Namibia,17.195019957489034,-22.069690013855066
Mozambique,35.602727744192414,-17.195857537030033
Morocco,-8.727847752068008,29.76685913718276
Western Sahara,-12.271496993232057,24.211729250060866
Montenegro,19.238630666900214,42.7880033111823
Mongolia,103.12397216191404,46.95620389055248
Moldova,28.465619168033435,47.18717283670143
Monaco,7.40627450663944,43.75274824120421
Mexico,-102.17098532395836,23.92415518486322
Mauritius,57.57126469549003,-20.277619585001833
Mauritania,-10.369916735172332,20.22069376776787
Malta,14.405376786768006,35.92147212267087
Mali,-3.5904730091616717,17.31513901451203
Maldives,73.45708054812312,3.7284611744052643
Malaysia,109.69934297070633,3.811140433067237
Malawi,34.2828475261884,-13.204425371177713
Madagascar,46.742890054388134,-19.31648369857136
North Macedonia,21.680595783449295,41.59519155835769
Luxembourg,6.0721581647692275,49.76678237167175
Lithuania,23.897099877574927,55.32377006198488
Liechtenstein,9.5357526010763891,47.13662659386299
Libya,18.06679321821868,27.016716392720845
Liberia,-9.319832618453036,6.451957665318154
Lesotho,28.228962109094883,-29.5790637000742
Lebanon,35.877695795640854,33.92159886822575
Latvia,24.920447008391992,56.85952164578425
Laos,103.77493440372464,18.4874182025194
Kyrgyzstan,74.50908613838372,41.474310359543225
Kuwait,47.58777967839277,29.333278575182295
Kosovo,20.87260301280508,42.570199257007104
Kiribati,-167.91969916077002,0.8929008088600912
Kenya,37.79622826715814,0.5994488365065361
Kazakhstan,67.24550262218885,48.36167091449599
Jordan,36.757683583901155,31.238702641837445
Japan,137.6600062659808,37.46088047559287
Jamaica,-77.31439583142861,18.157450872676606
Italy,12.201048504731768,42.71568614580387
Israel,34.99113819680126,31.432978642252852
Palestine,35.195479713946845,31.915220298420675
Ireland,-8.145718336207691,53.16253307647907
Iraq,43.77367610039911,33.00966640245123
Iran,54.44087560381349,32.52733594154731
Indonesia,117.17972980513929,-2.2640678135827765
India,79.56391093181026,22.77664303960867
Iceland,-18.580033661634047,64.99788412769288
Hungary,19.379267765675568,47.1659125111368
Honduras,-86.61761478647557,14.829080278153802
Haiti,-72.68676252790391,18.93457513645946
Guyana,-58.97992099271873,4.789642907600431
Guinea-Bissau,-14.949924057207486,12.047750788070472
Guinea,-10.934245987592456,10.437318748803067
Guatemala,-90.36721211796791,15.690119576851288
Grenada,-61.68221177193215,12.117242437507342
Greece,22.96428544230628,39.047959603655926
Ghana,-1.2169896404332603,7.947699712584653
Germany,10.364371589292613,51.05057720039199
Georgia,43.52425602662823,42.172941984875564
Gambia,-15.396323337399142,13.450953489963174
Gabon,11.7887417210203,-0.5864465779017811
France,-6.676141125115034,42.95514017651105
Saint Pierre and Miquelon,-56.30306035059773,46.919000205012836
Wallis and Futuna,-177.34431947989998,-13.888228722686316
Saint Martin,-63.05972894877067,18.088890776935855
Saint Barthelemy,-62.840676944632854,17.898805633036705
French Polynesia,-144.7854207428583,-14.71310787688225
New Caledonia,165.6797425760128,-21.3008860680882
French Southern and Antarctic Lands,69.19988471291948,-49.26831718728999
Aland,19.953553843598474,60.214867685600474
Finland,26.194973097453715,64.25513600002765
Fiji,178.51202823447073,-17.42754600958322
Ethiopia,39.60979228583622,8.614400650469033
Estonia,25.545032877343225,58.6729024249373
Eritrea,38.85727395225949,15.361124461746678
Equatorial Guinea,10.341727795299567,1.7054056331507816
El Salvador,-88.87095706807965,13.739863723829261
Egypt,29.878269665945982,26.459802903449802
Ecuador,-78.74929831943139,-1.424109851653568
Dominican Republic,-70.50524135649069,18.895115553038405
Dominica,-61.357700541351846,15.439435009185917
Djibouti,42.56007887989951,11.748306715529626
Greenland,-41.81367228366778,73.08121534569094
